Calories, Total Fat (g),Trans Fat (g) ,Saturated Fat (g), Sodium (mg), Total Carbohydrates (g) ,Cholesterol (mg), Dietary Fibre (g), Sugars (g), Protein (g) ,Vitamin A (% DV) ,Vitamin C (% DV), Calcium (% DV) ,Iron (% DV) ,Encoded_Category,Bevg_Prep,cafe_numic
160,2.5,0.3,0.0,0,70,31,1,28,5.0,0.06,0.0,0.2,0.1,8,7,28
210,0.2,0.1,0.0,5,105,45,0,43,8.0,0.15,0.0,0.25,0.02,8,3,33
240,4.5,2.0,0.1,20,115,45,0,42,8.0,0.1,0.0,0.25,0.02,8,0,33
220,3.5,0.4,0.0,0,90,41,1,37,6.0,0.08,0.0,0.25,0.1,8,7,33
260,0.3,0.2,0.0,5,135,57,0,54,10.0,0.15,0.0,0.35,0.02,8,11,5
310,6,3.0,0.2,25,150,56,0,53,10.0,0.15,0.02,0.3,0.02,8,0,5
280,4.5,0.5,0.0,0,115,51,1,46,8.0,0.1,0.0,0.3,0.15,8,7,5
130,0.2,0.1,0.0,5,85,26,0,25,7.0,0.1,0.04,0.2,0.02,8,5,19
170,4,2.0,0.1,15,95,26,0,25,7.0,0.1,0.06,0.2,0.02,8,0,19
140,3,0.4,0.0,0,70,22,1,20,6.0,0.08,0.04,0.2,0.1,8,7,19
210,0.4,0.2,0.0,5,125,42,1,41,11.0,0.2,0.1,0.35,0.04,8,9,26
260,6,3.0,0.2,25,140,41,1,40,10.0,0.15,0.1,0.35,0.04,8,0,26
230,4.5,0.5,0.0,0,110,36,2,33,9.0,0.1,0.1,0.35,0.15,8,7,26
290,0.5,0.2,0.0,10,160,57,1,56,14.0,0.25,0.15,0.45,0.04,8,3,30
350,8,4.0,0.2,30,180,57,1,55,14.0,0.2,0.15,0.45,0.04,8,0,30
310,6,1.0,0.0,0,140,50,3,46,11.0,0.15,0.15,0.45,0.25,8,7,30
370,0.5,0.3,0.0,10,200,73,2,71,18.0,0.3,0.2,0.6,0.06,8,11,4
450,10,5.0,0.3,40,230,72,2,71,17.0,0.25,0.2,0.5,0.06,8,0,4
390,8,1.0,0.0,0,180,64,4,58,14.0,0.2,0.2,0.6,0.3,8,7,4
80,0.1,0.1,0.0,0,45,16,0,16,4.0,0.06,0.0,0.1,0.0,8,5,35
90,2,1.0,0.1,10,50,15,0,15,3.0,0.06,0.0,0.1,0.0,8,0,35
